name,city_code
Amsterdam,AMS
Paris,PAR
Rome,ROM
Milan,MIL
Barcelone,BCN
Nice,NCE
Dubai,DXB
New York,NYC
Lyon,LYS
Bordeaux,BOD
Venise,VCE
San Francisco,SFO
Orlando,ORL
Las Vegas,LVS
Lisbonne,LIS
Marrakech,RAK
Londres,LON
Madrid,MAD
Berlin,BML
Prague,PRG
Vienne,VYN
Abu dhabi,AUH
Chicago,CHI
Turin,TRN
Pise,PSA
Mantoue,TRN
Budapest,BUD
Munich,MUC
Sydney,YQY
Buenos Aires,BUE
Washington DC,WAS
San Diego,SAN
Los Angeles,LAX
Istanbul,IST
Cracovie,KRK
Lima,LIM
Cancun,CUN
Vérone,VRN
Reykjavik,REK
Athènes,ATH
Bilbao,BIO
Shanghai,SHA
Rio de Janeiro,RIO
Melbourne,MLB
Innsbruck,INN
Victoria Falls,VFA
Livingstone,LVI
Johannesburg,JNB
Cape Town,CPT
Ho Chi Minh,SGN
Hanoi,HAN
Tusayan,GCN
Tampa Bay,TPA
St. Augustine,HAN
Sedona,SDX
Seattle,SEA
San Antonio,SAT
Portland,PWM
Phoenix,PHX
Philadelphia,PHL
Oahu,PHL
Chutes du Niagara,PHL
New Orleans,MSY
Nevada,NVD
Napa,APC
Monterey,APC
Miami,MIO
Maui,MIO
Knoxville,TYS
Key West,EYW
Kauai,EYW
Jackson Hole,JAC
Houston,ZHO
Honolulu,HNL
Fort Lauderdale,FLL
Detroit,DTT
Denver,DEN
Dallas,DFW
Cincinnati,CVG
Charleston,CRW
Burlington,BTV
Boston,BOS
La Grand île - Hawaii,BOS
Austin,AUS
Atlanta,ATL
Arizona,ATL
Annapolis,ANP
Anaheim,LAX
Izmir,IZM
Cappadoce,NAV
Chiang Mai,CNX
Bangkok,BKK
Ljubljana,LJU
Singapour,SIN
Stockholm,STO
Malmö,MMA
Göteborg,GOT
Medina,MND
Saint-Pétersbourg,LED
Moscow,MOW
